population,n,extent,integr,year.min,year.max,temp.interval,lon,lat,gls.mean,gls.var,cb.mean,cb.var,nas.mean,nas.var,bbc.mean,bbc.var,zb.mean,zb.var,ic.mean,ic.var,lbasi.mean,lbasi.var,can.mean,can.var,pl.mean,pl.var,max.mean,max.var,sm.mean,sm.var,mad.mean,mad.var,alpcor.mean,alpcor.var,bioclim,brt,domain,glm,mahal,maxent,rf,distance
Acauã,1,NA,NA,1996,1996,0,-42.766667,-17.133333,-0.0184405546983939,NA,-0.161787037613273,NA,0.00398920874098785,NA,0.232438186962932,NA,0.159378729869225,NA,-0.277028978534324,NA,0.0849209383525178,NA,0.150574905312836,NA,-0.107473016957606,NA,0.143811722717127,NA,0.246676478545237,NA,0.221360007902117,NA,0.678466333060758,NA,0.0824742248751606,1,0.8147369157291021,0.9418058455114823,0.9019411459423046,0.9312149467449796,1,234429.47305942903
Águia Branca,17,11.40684006853634,2.496143433749832,2006,2006,0,-40.7861111111111,-18.8747222222222,0.06417819281282595,0.3984715638865845,0.18296134239650105,0.2929247492531539,0.2593844616778336,0.340134668186035,0.06154504953865322,0.05774143728669395,-0.07240360974657292,0.07685521737766422,-0.014487636309152752,0.12197583492419074,-0.05415118869624869,0.045838348183116696,-0.02199214626715869,0.03223836912127632,0.3069302484145637,0.22364809626395035,0.3637619974696605,0.13179465850862374,0.20392721931462782,0.1038273422676595,0.30545859706558115,0.1206702606746491,-0.12661247605260348,0.11339013719390463,0.39862542765491993,0.9997996271217975,0.9621376001981405,0.8019311064718162,0.9673699603799895,0.7328054521176841,1,93796.7817972637
Aracruz,1,NA,NA,1992,1993,1,-40.16667,-19.83333,0.08794502757823586,0.040471216823500814,0.1474868955907384,0.005786875667626178,0.486808740572325,NA,-0.12397165580559401,0.031407692899840495,-0.05161042201709165,4.254970417120936e-8,-0.06176783956845105,0.04394136343948203,-0.08993605216878602,0.09979793068946062,0.026279566044722494,0.061571584678542464,-0.0483410450896535,NA,0.25703647100352983,0.06354850177609313,0.3506073445397665,0.02779370625866218,0.1862916037183897,0.052217087283771606,0.16019353246212553,0.6713760031454632,0.18556700819660446,0.9997996271217975,0.9297955600649891,0.8639091858037578,0.9852799389324574,0.9155688949978066,1,0
Belo Horizonte,7,9.875670547356142,2.9052378456382337,1997,2000,3,-43.991832,-20.014785,-0.22070914547284345,0.30824656676738243,-0.2545596999461768,0.2489684930162257,0.08486781331604433,0.18405935168991694,0.5808489149999919,0.07831515404074726,0.14842774209351778,0.07017039006281481,-0.07361723125057157,0.035460790184534706,0.2975400234871557,0.014961052739503876,-0.1001880653061548,0.0282696213762783,-0.4756546486837925,0.19974657511791818,-0.1884062022349582,0.15595300015727712,-0.1439458608694896,0.09017488787941137,-0.09280309384392908,0.31996204906538467,0.3474224262735302,0.16245219211833986,0.1443298946452776,0.9996994406826962,0.8094914442884108,0.8650835073068894,0.9748123141455347,0.525893236766708,1,308784.2160311556
Bocaiúva,1,NA,NA,2003,2003,0,-43.907,-17.392306,-0.480989332889912,NA,-0.426174187406851,NA,0.281563702356646,NA,0.299320712833628,NA,0.221666253615222,NA,-0.410764092087713,NA,-0.00567590419420938,NA,-0.239218195521037,NA,-0.0660256088026578,NA,-0.174614984285123,NA,0.106281172870704,NA,-0.36864053097619,NA,0.46219903294017,NA,0.030927835441931784,1,0.8073619026337797,0.5989039665970772,0.9273480332959291,0.6370166904332187,1,164226.91039436363
Boracéia,4,9.532209119427902,4.408734814005115,1994,2001,7,-45.9,-23.65,0.1767616610489497,0.18811967718542538,0.003284603411954412,0.19093367902567063,0.195600146938669,0.06711787104567714,0.3771234932301401,0.10695105736572219,-0.012563420563708658,0.03960942921430273,-0.05503658497401154,0.17187090103435154,0.1411375663804392,0.04461754925397918,0.13908639016069096,0.017960089137513586,0.3138962229949742,0.1848401125313479,-0.1343847138975314,0.21790693889155774,0.011630251585533411,0.059858600947010086,-0.1337795154419232,0.1676731858237536,-0.459179711015899,0.0510276787067012,NA,NA,NA,NA,NA,NA,NA,13049.212039941134
Brigadeiro,3,3.481638347673163,0.5030536429323945,1992,1992,0,-42.483333,-20.716667,0.7048176150662571,0.125611011837807,0.4074893526161297,0.06177519785259189,0.8434132713035273,0.2539026293651441,0.5524790036476587,0.00914161545191818,-0.18240804963772572,0.015834842173990626,-0.18707657788357637,0.03135366054415044,0.381814037752943,0.007052065444445053,-0.06420999589650181,0.012306969276383911,0.36123649965486127,0.1631010877111042,0.46922542685118235,0.09836048932822088,0.35151664527220133,0.0025068510950442754,0.284258671323947,0.0830165112673559,0.315457459851271,0.004974030992409873,0.12371134176772713,1,0.7783525842142777,0.9853862212943633,0.9825529841062376,0.9744983058616048,1,149175.73136006872
Calçado,3,8.384403923931897,3.217492187826034,2012,2012,0,-41.67083,-20.95806,-0.03925750179198141,0.14531898649004688,-0.010685937996520005,0.10376641521150805,-0.12158828056352171,0.2645152434431997,0.08613681747737265,0.015127711942135936,-0.00883935383885266,0.022021146683351155,-0.04448928945514127,0.018920415568494112,0.011605768946235495,0.04273859603104513,0.010439607666156779,0.016094652192169188,-0.41658625767177027,0.5112636820928256,-0.08504497778261369,0.14716979653085474,-0.06991563019453226,0.0854411433295919,0.11413086251327108,0.10151581352347791,0.45493855798410143,0.14627310934356122,0.40721648253673903,0.9966940615179212,0.9934392056089764,0.5204853862212944,1,0.5139309680649329,1,68166.76210073392
Caparaó,3,6.438214765435833,1.8441719984476102,NA,NA,NA,-41.7316666666667,-20.3963888888889,0.05698540212394562,0.4119449545682505,-0.1380232984057309,0.21788227455643444,-0.04224071491065932,0.25979036163100566,0.1874159052356508,0.027468637821254877,0.10290381591098285,0.07516182559478089,0.188560960814869,0.12173653286201508,-0.11106580634358924,0.035049073366843556,-0.07771910177865515,0.009767996254275314,0.03942472922687475,0.07833980933005895,0.15506349834354488,0.003591511390824444,0.18311688731379444,0.030221757619235748,-0.11182286023597496,0.24054961584167478,-0.15732461076156937,0.23439121334651947,0.10309277775271106,0.9995992848162039,0.76823065692193,0.9718162839248434,0.9257597874326104,0.9643279951724262,1,112256.71269865253
Caraça,6,15.73369709426751,10.720225576220564,1980,2006,26,-43.483333,-19.966667,-0.21218188605814603,0.7891116093898783,-0.2668882945130538,0.8741405690015911,-0.25773296918793653,0.7051985448398786,0.27136572048782365,0.04855392056862947,0.12854416250481882,0.1864688677325471,0.19493832258493188,0.06026463524885007,0.012056757367815361,0.02717173842581723,0.07477959186174354,0.031972029112578626,-0.273236911690411,0.42520746388320646,-0.05248370586567866,0.2481599259509207,-0.15679535894549704,0.10505599230536752,0.1030699533476085,0.2825051109891387,0.3450029271241483,0.0908415397425607,0.25429553338089117,0.9994990983771026,0.9259496102085178,0.7727905358385525,0.9700842004453125,0.5824425308427441,1,282608.51076114975
Caratinga,2,9.570621047500586,7.0459067103739415,1985,1993,8,-42.139167,-19.789722,-0.144839704460793,0.1700823344687888,0.061476198578875596,0.022047677801572692,-0.10900340571239199,0.09717767353958819,0.172042355198816,0.14719832208729058,-0.08621610739200733,0.010579173000325534,-0.35371306467152136,0.10407472339089803,0.08207900794160493,0.01890110809592488,-0.0837693394090986,0.04465375187009227,0.09789492654565449,0.31698291295194947,-0.15096675426951117,0.26109375628024284,-0.35400326157353745,0.07774098457765671,0.22209833596740233,0.03421882139408374,0.38467390017941766,0.10361043894493627,0.10309278109395074,0.5033059448115642,0.9419511985020768,0.4823851774530271,0.95653067273086545,0.42496623417938295,0.5005,185882.10691770463
Catas Altas,5,16.843148688591445,8.716443116214737,2001,2015,14,-43.468291,-20.158518,-0.47531773609290734,0.4139326890916725,-0.6529465601323122,0.6620896311418,-0.18331157127182537,0.4478240770852819,0.3846235204299508,0.039646225166920734,0.35488336690605804,0.16968214257733713,0.029118404944324206,0.08265385086463911,0.11616054858463154,0.06492211441068026,-0.0886996747785775,0.0546399322795518,-0.31043685182871145,0.5315200842910295,-0.3182282929402348,0.16987832656484653,-0.137547850875824,0.11943152521047433,-0.33802832322841375,0.1026364443782768,0.21547256698855727,0.22054255226488637,NA,NA,NA,NA,NA,NA,NA,267105.8047437952
Chapada Diamantina,9,7.2292226356890605,0.7787223862838409,2002,2002,0,-41.3608056,-12.5729722,-0.39037232583504,0.2061328387409572,-0.5523686033875506,0.06474426215935049,-0.25622974804778537,0.5337917386089378,0.018844620323089534,0.058789987632836806,0.2677913247622262,0.021698247371759592,-0.37345232504251635,0.10336363597279451,-0.03699360742259425,0.06207712532622979,0.13310363926728713,0.023924715100636117,-0.44406236996908616,0.052133333364857405,-0.4993331703653728,0.1078191980520424,-0.13338255114406228,0.0911431842376032,-0.03727716093998276,0.05370848873946531,-0.161231173260476,0.06073132294470175,0.3865979330004282,1,0.9753081261244567,0.9912578288100209,0.9417037814704794,0.9578041347595645,1,5774.844067223596
Cipó,4,11.781384676976488,4.776803204656599,1992,2002,10,-43.6185,-19.349,0.4446926481698325,0.7311467047125443,0.054736814839421014,0.3243282804456979,0.5976803141371743,1.1540466109508625,0.360978674696442,0.12820768747871747,-0.05174205381095286,0.07690923333032555,-0.2276117072701828,0.06316838187124553,0.10313671713217185,0.003628839762070259,0.013824284175966171,0.00803176409949293,-0.017987650230655503,0.11244700723533908,-0.12596946999272943,0.09285473675524009,-0.39398451359312947,0.0059314337575279335,0.2380628652478133,0.04668429550594666,0.45183691844553425,0.6482590538965691,0.12371134176772713,0.9993989425106102,0.8300367183757803,0.5618475991649269,0.9247045093197189,0.44779347133466535,1,333658.46859695716
Córrego do Veado,20,8.109396907793178,0.8354223452422839,2008,2015,7,-40.2133,-18.3703,0.3222688407831828,0.2611216137513056,0.49813196539116406,0.32042142674891116,0.580838141807412,0.2090586533794575,-0.07397227433129433,0.08850447643054454,-0.23274820330144744,0.08277388689986989,0.06518878680157283,0.08069489985343883,0.043218309866155186,0.039302635670238666,0.05188301057413068,0.026897885145578285,0.2128723108465689,0.2220174234928704,0.3581096682529794,0.15692335843459967,0.22947651791251533,0.06416640905186134,0.41099912382468323,0.2557365327372357,0.07426893355374561,0.15883204293728392,0.06701030826794127,0.9072998144751631,0.9082513702400395,0.6457898399443285,0.9645290429111372,0.6213938977711873,0.9986000061035156,52760.40635595737
Diamantina,4,7.422653533490303,1.5154824140614926,2007,2011,4,-43.403222,-18.270139,0.214937731077164,0.3289488543362672,-0.1011292094766675,0.1170301555405432,0.10375616551367574,0.5447141308995467,0.25499107925553377,0.011986541245370408,0.06396931925352412,0.04185242814550324,-0.08306486516902473,0.06832825598205143,0.2307120293265831,0.03536118350560649,-0.07091433815124876,0.019236851946331318,-0.32213676513046274,0.24175820843159102,-0.07453814183312249,0.09159538143025363,0.0122512015543873,0.053645829023651906,-0.04132123425500117,0.10564788366131923,-0.3314955750740981,0.1002638009825288,0.1752577289734628,1,0.8625972157376406,0.9909968684759917,0.9840437909342371,0.8982078607878592,1,269546.0362008087
Duas Bocas,5,7.144846132805787,1.1890167781969234,2007,2008,1,-40.5113888888889,-20.2811111111111,-0.31029094519209055,0.22053288115127026,-0.20125260125341823,0.14271553873322693,-0.30587783790186196,0.6335968891994486,0.23030210879530394,0.09711578635271828,0.09496080414591995,0.05137805783195093,-0.013331139390818005,0.06634556274510645,0.011263263992684137,0.025526812215203528,-0.11716068914529329,0.019025194997514157,-0.11965477465464139,0.13855226704279172,-0.23542836600081052,0.11590901835165487,0.05145199911530382,0.0675759968008373,-0.04220085837158614,0.13123275179489313,-0.1661064116453644,0.07869962778648895,0.10309278332144386,1,0.9426848771885842,0.9953027139874739,0.948425789861388,0.990597686219521,1,15091.659639441317
Felício,5,8.220702280129135,1.9392033692163941,2007,2011,4,-43.241278,-18.198528,0.06384316619354934,0.5759237888682093,0.25469447589422417,0.6235253543006075,0.28819732209102694,0.624476790718151,-0.180262819387503,0.0765330615514297,-0.1913110070135347,0.16931167892755083,-0.00619131733189682,0.14918992943637874,-0.07448577773092815,0.042991180526799844,0.06256272194726098,0.006185008647578108,0.0652586287316037,0.22213242607789585,-0.10499972039375499,0.27060474634278636,-0.398112122114865,0.03871141190319639,0.16719941779842942,0.16937685384435874,0.10411392216282087,0.16991511461208283,0.2474226746254818,1,0.8870466116774144,0.9606819763395964,0.9290945248316707,0.8866179113201931,1,276845.2657330846
Forno Grande,6,6.012632589308581,0.9462745881684591,2013,2014,1,-41.0838894,-20.5166672,0.4813073579660284,0.17463218617583404,0.6619980036102295,0.1619818160788404,-0.02946672551681257,0.19780702700158,0.0279488856070179,0.07130415294485354,-0.3074877413198546,0.04911366287730901,-0.06997182598601359,0.022955244423873488,0.013958157813310427,0.016831073529725966,-0.054376038048607675,0.05974911382358906,0.37301691962760786,0.03994645928109254,0.2796386356101374,0.06922856017473594,0.13581032143136365,0.05156371011012515,0.3235191198253705,0.16107971094165502,-0.11116053579183306,0.22213774169213749,0.12371134176772713,1,0.768232019441028,0.9765135699373695,0.9495533727711516,0.9805449923820746,1,50184.54877896461
Fragmentos,10,9.201371745101214,1.5541579816853142,1999,2002,3,-42.964722,-22.563333,-0.1638044985885237,0.19031266725082555,-0.19856370328446774,0.2409823065975558,-0.2908712190858654,0.49328809308429183,0.03403925010623638,0.11002727394018233,0.10173319462208605,0.07299363123135234,0.3026924764282246,0.08266135817346118,0.1478788954966894,0.04457825496219832,0.20373198440803286,0.03183856389460408,-0.09419299089570185,0.19461575391034158,-0.3858379981246474,0.21065461327034032,-0.11184435580810781,0.05821042211505756,-0.34971410933805164,0.08312026485351459,-0.24108464402781377,0.09537832493761712,0.23367696602463542,0.9829693448214908,0.9577508059552783,0.8674321503131524,0.9436451519778808,0.7267887907810237,0.9995,14236.864872956769
Grão Mogol,0,NA,NA,1989,1989,0,-42.889722,-16.559444,-1.77070942721355,NA,-1.66001186828932,NA,-1.0610066173311,NA,-0.139758459701845,NA,0.848153119917527,NA,-0.331774927247625,NA,0.28885229916915,NA,-0.0327830520512702,NA,NA,NA,-0.82575375267561,NA,-0.395659937243807,NA,-1.64687356880151,NA,NA,NA,0,0.8767782007672568,0.7904920238132005,0.569937369519833,0.9108954698714827,0.4818657558296339,0.9564000244140625,181803.4310715767
Guarapari,3,9.727978803746298,3.8944520663717195,2014,2015,1,-40.5444444444444,-20.5786111111111,0.34824443122226395,0.3971191611061351,0.3634057796063577,0.21741981773563596,0.3136140261625257,0.0015010734780136659,-0.27215511055244934,0.10977411782559741,-0.21388282043973686,0.08986238199130742,-0.20357794286432945,0.04408731765313622,-0.2983796925473173,0.09162208574369028,0.011509906423718873,0.02955528115900511,0.23314999172896472,0.09052384651046881,-0.008941747368701005,0.19946749244428674,-0.17294430340048803,0.137114101902964,0.12058279848501753,0.08579314244491072,-0.040596103168206006,0.13043000262904242,0.3711340163932089,1,0.9304083908770566,0.9802974947807933,0.9177418844645531,0.9738377319467325,1,6468.063851771856
Ibitipoca,1,NA,NA,1988,1988,0,-43.883333,-21.691667,-0.333114674945513,NA,-0.233727027328584,NA,0.0926979737021369,NA,0.328177657963458,NA,0.181661176486703,NA,0.0251368950707871,NA,0.169672119213891,NA,-0.118451292585726,NA,-0.283388117367668,NA,-0.037430708347987,NA,0.195759034506295,NA,-0.19326229081177,NA,0.330583543941035,NA,0.18556699928663195,1,0.8182890030175256,0.9973903966597077,1,0.888201337377005,1,132517.5083698794
Ilha Grande,6,5.968245499609062,1.0686468018079762,1976,2014,38,-44.188679,-23.1633277,-0.10447631357310062,0.023172499260488266,-0.10134718602252477,0.06435561143749159,0.0835546523538036,0.031798673350321986,0.021083404198489503,0.19985413968379256,0.04408607421956865,0.01653378620705444,-0.1222944051701457,0.06043817090165156,0.019972462262449496,0.09876327106702412,-0.270086419550507,0.01679050419458506,-0.17042016574727234,0.07270857621292547,-0.309861961188934,0.08806978548662889,-0.08181541835702319,0.021924399434154373,-0.38067645537356826,0.07707864152894714,-0.4007796744500025,0.057174804952903516,0.02061855621879015,0.9660388760820828,0.7143028890552171,0.5232254697286013,0.9470535915482674,0.5076760004609124,1,3323.8805087866986
Intervales,4,3.343694629794428,0.29651981236665836,1988,1988,0,-48.4166666667,-24.3333333333,0.0535770634818904,0.1797793042005476,-0.0418872336823242,0.0532508627069892,-0.31731708573276,0.16923536794074012,0.4081766244601544,0.012711521971503305,0.06362150047710395,0.01570999192573102,0.01379708958587416,0.009309588445656257,0.19013160528885664,0.027281760404603797,0.1444570686833483,0.01316653870173254,0.20322103853575935,0.18668980973565824,-0.15404061304313837,0.04295381754898923,0.2195408430582163,0.013010249431427964,-0.09805880558345868,0.06578498196011998,-0.17126336625281147,0.1057354972461248,0.02061855621879015,1,0.9139946910200303,0.9981732776617954,1,0.9796704070644054,1,4.2014208919189674e-4
Irapé,4,10.6881361522384,4.585713831346512,2006,2006,0,-42.574983,-16.737511,0.26379908674436076,0.4828667571642195,0.16718400132218925,0.37043701036715193,0.1286028706840955,0.22412706810472754,0.008722335884624247,0.17789061329849654,-0.08027493720732173,0.11018120606685347,-0.2933108855373801,0.08058469777531935,0.1550048698983117,0.03526036364843101,0.10789953348327602,0.044455448102377206,0.11754045392305926,0.17709207632880725,0.3040508823429845,0.06033154089414694,-0.031176698803005026,0.051353842546487914,0.2758760743908065,0.07134577541915026,-0.05757505727768579,0.25815399735712435,0,0.5277499254743099,0.7914744757783466,0.061586638830897704,1,0.3017884243140301,0.9687999877929687,219988.39289480547
Itacaré,1,NA,NA,1999,1999,0,-39.086944,-14.343611,0.839086039531608,NA,0.531669910972326,NA,0.721091704792578,NA,-0.343441538543528,NA,-0.362087598818185,NA,-0.209225410429559,NA,-0.745987409725068,NA,-0.146048296566206,NA,0.552874425056011,NA,0.231162862505407,NA,-0.621585504763992,NA,0.944854107638299,NA,0.820340624408205,NA,0.05154639166072193,0.9983971392648155,0.38565766223212117,0.8992693110647182,0.9609705106393424,0.8676222035689571,1,9026.281002405407
Jaíba,6,6.841156823558653,1.15105107556094,1990,1992,2,-43.760278,-15.068681,-0.8853931929155652,0.07161958290591944,-0.632712622233246,0.12538179175858197,-0.5661753605015665,0.12384749713351896,-0.355736347012376,0.16506029256666202,0.27184246493266184,0.04320364054569079,-0.6202198094396217,0.04554252987797125,-0.07181521463017701,0.01927966767253827,-0.037782338503197024,0.019356264411731064,-0.6099858640597567,0.008946975766052696,-0.35625429303726264,0.07354893796978779,-0.24776927399148774,0.01820129444287982,-0.49170061036147117,0.04999058099907742,-0.5871591141710981,0.4887455592686401,0,0.011220196400669902,0.7232586703145845,0.009133611691022964,0.7795151974348127,0.04709753362419609,0,1101.717043493564
